,episode,results,return,goal
581,582,"(184.0, 10, True)",184.0,True
582,583,"(168.0, 18, True)",168.0,True
583,584,"(181.0, 11, True)",181.0,True
584,585,"(181.0, 11, True)",181.0,True
585,586,"(174.0, 15, True)",174.0,True
586,587,"(177.0, 13, True)",177.0,True
587,588,"(182.0, 10, True)",182.0,True
588,589,"(179.0, 14, True)",179.0,True
589,590,"(181.0, 11, True)",181.0,True
590,591,"(180.0, 12, True)",180.0,True
591,592,"(171.0, 16, True)",171.0,True
592,593,"(182.0, 12, True)",182.0,True
593,594,"(181.0, 11, True)",181.0,True
594,595,"(182.0, 10, True)",182.0,True
595,596,"(176.0, 14, True)",176.0,True
596,597,"(181.0, 11, True)",181.0,True
597,598,"(182.0, 10, True)",182.0,True
598,599,"(183.0, 11, True)",183.0,True
599,600,"(181.0, 13, True)",181.0,True
600,601,"(181.0, 11, True)",181.0,True
601,602,"(173.0, 15, True)",173.0,True
602,603,"(178.0, 13, True)",178.0,True
603,604,"(168.0, 20, True)",168.0,True
604,605,"(179.0, 13, True)",179.0,True
605,606,"(175.0, 14, True)",175.0,True
606,607,"(-227.0, 375, True)",-227.0,True
607,608,"(170.0, 17, True)",170.0,True
608,609,"(176.0, 14, True)",176.0,True
609,610,"(182.0, 10, True)",182.0,True
610,611,"(184.0, 10, True)",184.0,True
611,612,"(177.0, 13, True)",177.0,True
612,613,"(182.0, 10, True)",182.0,True
613,614,"(182.0, 10, True)",182.0,True
614,615,"(182.0, 10, True)",182.0,True
615,616,"(171.0, 17, True)",171.0,True
616,617,"(172.0, 16, True)",172.0,True
617,618,"(182.0, 11, True)",182.0,True
618,619,"(180.0, 12, True)",180.0,True
619,620,"(177.0, 13, True)",177.0,True
620,621,"(25.0, 165, True)",25.0,True
621,622,"(182.0, 10, True)",182.0,True
622,623,"(175.0, 14, True)",175.0,True
623,624,"(181.0, 11, True)",181.0,True
624,625,"(180.0, 12, True)",180.0,True
625,626,"(179.0, 11, True)",179.0,True
626,627,"(181.0, 11, True)",181.0,True
627,628,"(174.0, 15, True)",174.0,True
628,629,"(179.0, 13, True)",179.0,True
629,630,"(182.0, 10, True)",182.0,True
630,631,"(178.0, 14, True)",178.0,True
631,632,"(177.0, 15, True)",177.0,True
632,633,"(181.0, 11, True)",181.0,True
633,634,"(176.0, 14, True)",176.0,True
634,635,"(182.0, 10, True)",182.0,True
635,636,"(176.0, 14, True)",176.0,True
636,637,"(182.0, 10, True)",182.0,True
637,638,"(173.0, 14, True)",173.0,True
638,639,"(178.0, 12, True)",178.0,True
639,640,"(176.0, 14, True)",176.0,True
640,641,"(179.0, 12, True)",179.0,True
641,642,"(177.0, 16, True)",177.0,True
642,643,"(178.0, 12, True)",178.0,True
643,644,"(170.0, 16, True)",170.0,True
644,645,"(179.0, 11, True)",179.0,True
645,646,"(182.0, 10, True)",182.0,True
646,647,"(181.0, 11, True)",181.0,True
647,648,"(182.0, 10, True)",182.0,True
648,649,"(174.0, 14, True)",174.0,True
649,650,"(181.0, 11, True)",181.0,True
650,651,"(181.0, 11, True)",181.0,True
651,652,"(177.0, 13, True)",177.0,True
652,653,"(180.0, 12, True)",180.0,True
653,654,"(182.0, 10, True)",182.0,True
654,655,"(178.0, 13, True)",178.0,True
655,656,"(178.0, 12, True)",178.0,True
656,657,"(179.0, 13, True)",179.0,True
657,658,"(177.0, 13, True)",177.0,True
658,659,"(182.0, 10, True)",182.0,True
659,660,"(182.0, 10, True)",182.0,True
660,661,"(169.0, 17, True)",169.0,True
661,662,"(179.0, 12, True)",179.0,True
662,663,"(178.0, 12, True)",178.0,True
663,664,"(177.0, 15, True)",177.0,True
664,665,"(178.0, 12, True)",178.0,True
665,666,"(179.0, 13, True)",179.0,True
666,667,"(181.0, 11, True)",181.0,True
667,668,"(169.0, 17, True)",169.0,True
668,669,"(181.0, 13, True)",181.0,True
669,670,"(177.0, 12, True)",177.0,True
670,671,"(179.0, 12, True)",179.0,True
671,672,"(176.0, 13, True)",176.0,True
672,673,"(180.0, 12, True)",180.0,True
673,674,"(170.0, 18, True)",170.0,True
674,675,"(180.0, 12, True)",180.0,True
675,676,"(181.0, 11, True)",181.0,True
676,677,"(182.0, 10, True)",182.0,True
677,678,"(182.0, 10, True)",182.0,True
678,679,"(184.0, 10, True)",184.0,True
679,680,"(182.0, 10, True)",182.0,True
680,681,"(179.0, 13, True)",179.0,True
681,682,"(182.0, 10, True)",182.0,True
682,683,"(181.0, 11, True)",181.0,True
683,684,"(177.0, 13, True)",177.0,True
